candidate_email,full_name,candidate_title,about,location,preferred_employment_type,yoe,seniority,created_at,skills
carrie.johnson@gmail.com,Carrie Johnson,Sales manager,SKILLS 1. MS-Office 2. Good Communication skills and Convincing Power 3. Knowledge of sales and marketing 4. Customer sales management 5. Talent management 6. Direct sales management STRENGTHS 1. Dedication and dependability 2. Flexibility: able to work in taxing and demanding conditions on reasonably stretchable time slots 3. Team work: able to work cooperatively in a team and lead the team to success Education Details Sales manager Skill Details AND MARKETING- Exprience - 6 months DIRECT SALES...,"North Davidtown, Kuwait",,1.0,Junior,2025-01-19T02:10:26,
craig.patton@gmail.com,Craig Patton,s support staff.,KEY SKILLS: â¢ Planning & Strategizing â¢ Presentation skill â¢ Client relationship â¢ Energy level â¢ Enquiry Generation â¢ Achieving Targets QUALIFICATIONS: A university in marketing or business studies is preferred or a minimum of three years of related experience in sales & marketing sector. Problem - solving and analytical skills to interpret sales performance and market trend information. Proven ability to motivate and lead the sales team. Experience in developing marketing and sales...,"Ronaldhaven, Montserrat",,0.0,Junior,2025-06-01T19:17:56,
lisa.hernandez@gmail.com,Lisa Hernandez,Sales Manager,"IT Skills: MS Office. Photoshop. SQL Server.Education Details June 2015 Bachelor Yashwantrao chavan maharashtra university Sales Manager Sales Manager Skill Details MS OFFICE- Exprience - 6 months MS SQL SERVER- Exprience - 6 months PHOTOSHOP- Exprience - 6 months SQL- Exprience - 6 months SQL SERVER- Exprience - 6 monthsCompany Details company - Nature Of Work description - Generating leads on calls, Suggesting Residential property as per clients budget & specification, building Relationship wi...","Lake Dennis, Pitcairn Islands",,0.0,Junior,2025-03-21T09:02:24,
adam.hoffman@hotmail.com,Adam Hoffman,Sales Manager,Skill Sets: â¢ Multi-tasking â¢ Collaborative â¢ Optimistic Thinking â¢ Effective teamleader/team trainer â¢ Visualizing the work which is to be done â¢ Good Grip on Communication â¢ Various Languages Known â¢ Value loyalty and is loyal towards my responsibility â¢ Compatible working with MS officeEducation Details January 2017 MBA Marketing & Sales Amity University January 2015 Bsc. Hotel Management P.S.G College of arts and sciences Institution/University/Board Sales Manager Sales and...,"South Austin, Antarctica (the territory South of 60 deg S)",,0.0,Junior,2024-12-22T15:20:47,
adam.smith@yahoo.com,Adam Smith,Sales Manager,Education Details Bachelor's Bachelor's Commerce India Guru Nanak high school Sales Manager Skill Details Data Entry- Exprience - Less than 1 year months Cold Calling- Exprience - Less than 1 year months Sales- Exprience - Less than 1 year months Salesforce- Exprience - Less than 1 year months MS Office- Exprience - Less than 1 year monthsCompany Details company - Emperor Honda description - company - Honda cars india Ltd description - 1. Worked as an Asm at Maruti dealership for 10 years 2. Cur...,"West Annebury, Spain",,10.0,Lead/Principal,2025-03-06T03:35:33,
kristin.chen@gmail.com,Kristin Chen,Sales manager,SKILLS 1. MS-Office 2. Good Communication skills and Convincing Power 3. Knowledge of sales and marketing 4. Customer sales management 5. Talent management 6. Direct sales management STRENGTHS 1. Dedication and dependability 2. Flexibility: able to work in taxing and demanding conditions on reasonably stretchable time slots 3. Team work: able to work cooperatively in a team and lead the team to success Education Details Sales manager Skill Details AND MARKETING- Exprience - 6 months DIRECT SALES...,"East Aaronstad, Grenada",,1.0,Junior,2025-01-15T05:07:36,
adam.brown@hotmail.com,Adam Brown,s support staff.,KEY SKILLS: â¢ Planning & Strategizing â¢ Presentation skill â¢ Client relationship â¢ Energy level â¢ Enquiry Generation â¢ Achieving Targets QUALIFICATIONS: A university in marketing or business studies is preferred or a minimum of three years of related experience in sales & marketing sector. Problem - solving and analytical skills to interpret sales performance and market trend information. Proven ability to motivate and lead the sales team. Experience in developing marketing and sales...,"North Cheryl, Vietnam",,0.0,Junior,2025-04-15T19:38:18,
alexander.wheeler@yahoo.com,Alexander Wheeler,Sales Manager,"IT Skills: MS Office. Photoshop. SQL Server.Education Details June 2015 Bachelor Yashwantrao chavan maharashtra university Sales Manager Sales Manager Skill Details MS OFFICE- Exprience - 6 months MS SQL SERVER- Exprience - 6 months PHOTOSHOP- Exprience - 6 months SQL- Exprience - 6 months SQL SERVER- Exprience - 6 monthsCompany Details company - Nature Of Work description - Generating leads on calls, Suggesting Residential property as per clients budget & specification, building Relationship wi...","Carriemouth, Malawi",,0.0,Junior,2023-09-01T15:27:51,
elizabeth.brooks@hotmail.com,Elizabeth Brooks,Sales Manager,Skill Sets: â¢ Multi-tasking â¢ Collaborative â¢ Optimistic Thinking â¢ Effective teamleader/team trainer â¢ Visualizing the work which is to be done â¢ Good Grip on Communication â¢ Various Languages Known â¢ Value loyalty and is loyal towards my responsibility â¢ Compatible working with MS officeEducation Details January 2017 MBA Marketing & Sales Amity University January 2015 Bsc. Hotel Management P.S.G College of arts and sciences Institution/University/Board Sales Manager Sales and...,"North Amandachester, Rwanda",,0.0,Junior,2025-08-03T09:07:24,
david.smith@hotmail.com,David Smith,Sales Manager,Education Details Bachelor's Bachelor's Commerce India Guru Nanak high school Sales Manager Skill Details Data Entry- Exprience - Less than 1 year months Cold Calling- Exprience - Less than 1 year months Sales- Exprience - Less than 1 year months Salesforce- Exprience - Less than 1 year months MS Office- Exprience - Less than 1 year monthsCompany Details company - Emperor Honda description - company - Honda cars india Ltd description - 1. Worked as an Asm at Maruti dealership for 10 years 2. Cur...,"New Vickishire, Mexico",,10.0,Lead/Principal,2025-07-29T22:08:29,
alexandra.odonnell@yahoo.com,Alexandra Odonnell,Sales manager,SKILLS 1. MS-Office 2. Good Communication skills and Convincing Power 3. Knowledge of sales and marketing 4. Customer sales management 5. Talent management 6. Direct sales management STRENGTHS 1. Dedication and dependability 2. Flexibility: able to work in taxing and demanding conditions on reasonably stretchable time slots 3. Team work: able to work cooperatively in a team and lead the team to success Education Details Sales manager Skill Details AND MARKETING- Exprience - 6 months DIRECT SALES...,"North Scott, Tokelau",,1.0,Junior,2025-06-08T14:07:13,
nancy.robinson@yahoo.com,Nancy Robinson,s support staff.,KEY SKILLS: â¢ Planning & Strategizing â¢ Presentation skill â¢ Client relationship â¢ Energy level â¢ Enquiry Generation â¢ Achieving Targets QUALIFICATIONS: A university in marketing or business studies is preferred or a minimum of three years of related experience in sales & marketing sector. Problem - solving and analytical skills to interpret sales performance and market trend information. Proven ability to motivate and lead the sales team. Experience in developing marketing and sales...,"Erikland, Morocco",,0.0,Junior,2025-06-29T12:03:31,
carmen.farley@yahoo.com,Carmen Farley,Sales Manager,"IT Skills: MS Office. Photoshop. SQL Server.Education Details June 2015 Bachelor Yashwantrao chavan maharashtra university Sales Manager Sales Manager Skill Details MS OFFICE- Exprience - 6 months MS SQL SERVER- Exprience - 6 months PHOTOSHOP- Exprience - 6 months SQL- Exprience - 6 months SQL SERVER- Exprience - 6 monthsCompany Details company - Nature Of Work description - Generating leads on calls, Suggesting Residential property as per clients budget & specification, building Relationship wi...","North Jessica, Senegal",,0.0,Junior,2025-05-10T16:48:36,
jason.baker@yahoo.com,Jason Baker,Sales Manager,Skill Sets: â¢ Multi-tasking â¢ Collaborative â¢ Optimistic Thinking â¢ Effective teamleader/team trainer â¢ Visualizing the work which is to be done â¢ Good Grip on Communication â¢ Various Languages Known â¢ Value loyalty and is loyal towards my responsibility â¢ Compatible working with MS officeEducation Details January 2017 MBA Marketing & Sales Amity University January 2015 Bsc. Hotel Management P.S.G College of arts and sciences Institution/University/Board Sales Manager Sales and...,"Fieldston, Morocco",,0.0,Junior,2024-10-24T18:55:05,
sherry.mccarthy@hotmail.com,Sherry Mccarthy,which will commensurate with my qualification and experience in the field of health and fitness environment.,"Education Details January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high Personal fitness trainer level3 personal trainer Skill Details Company Details company - Golds gym ,fitness solution,flora hotel description - Certification : american college of sports science golds gym heart saver reps level 3 Responsibilities To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. Accomplish...","South Brettland, Uganda",,0.0,Junior,2024-06-23T16:19:41,
michelle.johnson@gmail.com,Michelle Johnson,,"Education Details January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College Group Fitness Instructor, India Group Fitness Instructor, India - Columbia University Skill Details Company Details company - Columbia University description - Present Organized high energy weight training, card...","Port Cynthia, Haiti",,0.0,Junior,2024-03-27T00:47:27,
robert.mercado@hotmail.com,Robert Mercado,,"Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people diplomatically â¢ Willingness to learn Other Qualifications: â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 mon...","North Christy, Armenia",,0.0,Junior,2024-11-21T02:04:58,
mary.gomez@gmail.com,Mary Gomez,S:,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details January 2010 Advance Diploma in Hotel Management J&W Institute of Hotel Management Gym management & Consultant Gym management & Consultant - Sculpt Fitness Centre Skill Details Excel- Exprience - 96 months PowerPoint- Exprience - 96 months Word- Exprience - ...","Mendezmouth, Sri Lanka",,0.0,Junior,2024-10-10T09:37:16,
sarah.barnes@yahoo.com,Sarah Barnes,s and university requirements involved many public speaking opportunities.,Education Details January 2009 P.G. Sports science Dr. BMN College of Home Science January 2008 BSc Food Science & Nutrition Dr. BMN College of Home Science January 2004 HSC Central Railway's Jr. college of Science and Commerce January 2002 SSC HISTORY IES's Modern English School MSc Nutrition College of Home Science nutritionist and health promoter 9yrs experience as a nutritionist and health coach Skill Details Company Details company - UGC NET description - CAREER OBJECTIVE- To use my qualifi...,"Masseyfort, Marshall Islands",,9.0,Senior,2023-11-19T22:46:25,
nathan.wang@yahoo.com,Nathan Wang,,"Education Details May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience Health and wellness coach Advance PG diploma in Clinical research, Clinical data management and SAS Skill Details Company Details company - GOQii Technologies Ltd description - â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance hea...","South David, Hungary",,0.0,Junior,2025-06-11T05:49:06,
dawn.novak@yahoo.com,Dawn Novak,which will commensurate with my qualification and experience in the field of health and fitness environment.,"Education Details January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high Personal fitness trainer level3 personal trainer Skill Details Company Details company - Golds gym ,fitness solution,flora hotel description - Certification : american college of sports science golds gym heart saver reps level 3 Responsibilities To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. Accomplish...","West Kristinbury, Madagascar",,0.0,Junior,2024-05-07T15:17:46,
rachel.holmes@gmail.com,Rachel Holmes,,"Education Details January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College Group Fitness Instructor, India Group Fitness Instructor, India - Columbia University Skill Details Company Details company - Columbia University description - Present Organized high energy weight training, card...","Jilltown, Congo",,0.0,Junior,2024-06-01T16:21:20,
michele.lawrence@yahoo.com,Michele Lawrence,,"Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people diplomatically â¢ Willingness to learn Other Qualifications: â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 mon...","Lake Caitlin, Suriname",,0.0,Junior,2023-09-19T22:49:18,
lisa.gibson@yahoo.com,Lisa Gibson,S:,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details January 2010 Advance Diploma in Hotel Management J&W Institute of Hotel Management Gym management & Consultant Gym management & Consultant - Sculpt Fitness Centre Skill Details Excel- Exprience - 96 months PowerPoint- Exprience - 96 months Word- Exprience - ...","Jamesborough, Kuwait",,0.0,Junior,2024-01-10T03:07:09,
jennifer.garcia@yahoo.com,Jennifer Garcia,s and university requirements involved many public speaking opportunities.,Education Details January 2009 P.G. Sports science Dr. BMN College of Home Science January 2008 BSc Food Science & Nutrition Dr. BMN College of Home Science January 2004 HSC Central Railway's Jr. college of Science and Commerce January 2002 SSC HISTORY IES's Modern English School MSc Nutrition College of Home Science nutritionist and health promoter 9yrs experience as a nutritionist and health coach Skill Details Company Details company - UGC NET description - CAREER OBJECTIVE- To use my qualifi...,"North Jaimeburgh, British Indian Ocean Territory (Chagos Archipelago)",,9.0,Senior,2024-07-04T09:06:51,
donald.gardner@hotmail.com,Donald Gardner,,"Education Details May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience Health and wellness coach Advance PG diploma in Clinical research, Clinical data management and SAS Skill Details Company Details company - GOQii Technologies Ltd description - â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance hea...","East Stevenland, Korea",,0.0,Junior,2025-03-18T02:10:10,
heather.harris@yahoo.com,Heather Harris,which will commensurate with my qualification and experience in the field of health and fitness environment.,"Education Details January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high Personal fitness trainer level3 personal trainer Skill Details Company Details company - Golds gym ,fitness solution,flora hotel description - Certification : american college of sports science golds gym heart saver reps level 3 Responsibilities To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. Accomplish...","Donaldtown, Brazil",,0.0,Junior,2024-04-25T00:59:53,
michael.tucker@hotmail.com,Michael Tucker,,"Education Details January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College Group Fitness Instructor, India Group Fitness Instructor, India - Columbia University Skill Details Company Details company - Columbia University description - Present Organized high energy weight training, card...","Mariafurt, Australia",,0.0,Junior,2025-04-08T14:22:00,
daniel.frazier@yahoo.com,Daniel Frazier,,"Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people diplomatically â¢ Willingness to learn Other Qualifications: â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 mon...","Dunlapton, Rwanda",,0.0,Junior,2024-12-12T05:57:41,
heather.miles@hotmail.com,Heather Miles,S:,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details January 2010 Advance Diploma in Hotel Management J&W Institute of Hotel Management Gym management & Consultant Gym management & Consultant - Sculpt Fitness Centre Skill Details Excel- Exprience - 96 months PowerPoint- Exprience - 96 months Word- Exprience - ...","New Suebury, Vanuatu",,0.0,Junior,2024-12-26T06:08:15,
nathan.wood@gmail.com,Nathan Wood,s and university requirements involved many public speaking opportunities.,Education Details January 2009 P.G. Sports science Dr. BMN College of Home Science January 2008 BSc Food Science & Nutrition Dr. BMN College of Home Science January 2004 HSC Central Railway's Jr. college of Science and Commerce January 2002 SSC HISTORY IES's Modern English School MSc Nutrition College of Home Science nutritionist and health promoter 9yrs experience as a nutritionist and health coach Skill Details Company Details company - UGC NET description - CAREER OBJECTIVE- To use my qualifi...,"New Mallory, Burkina Faso",,9.0,Senior,2025-07-01T19:59:20,
david.hernandez@yahoo.com,David Hernandez,,"Education Details May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience Health and wellness coach Advance PG diploma in Clinical research, Clinical data management and SAS Skill Details Company Details company - GOQii Technologies Ltd description - â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance hea...","Port Matthew, South Georgia and the South Sandwich Islands",,0.0,Junior,2024-06-08T04:59:01,
alan.sharp@yahoo.com,Alan Sharp,which will commensurate with my qualification and experience in the field of health and fitness environment.,"Education Details January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high Personal fitness trainer level3 personal trainer Skill Details Company Details company - Golds gym ,fitness solution,flora hotel description - Certification : american college of sports science golds gym heart saver reps level 3 Responsibilities To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. Accomplish...","Aaronhaven, Luxembourg",,0.0,Junior,2024-05-10T19:14:42,
stephanie.kelly@gmail.com,Stephanie Kelly,,"Education Details January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College Group Fitness Instructor, India Group Fitness Instructor, India - Columbia University Skill Details Company Details company - Columbia University description - Present Organized high energy weight training, card...","Lloydhaven, Montenegro",,0.0,Junior,2024-11-16T17:02:13,
tracy.perry@gmail.com,Tracy Perry,,"Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people diplomatically â¢ Willingness to learn Other Qualifications: â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 mon...","South Gabrielmouth, Mexico",,0.0,Junior,2025-01-13T01:45:45,
angela.travis.md@yahoo.com,Angela Travis MD,S:,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details January 2010 Advance Diploma in Hotel Management J&W Institute of Hotel Management Gym management & Consultant Gym management & Consultant - Sculpt Fitness Centre Skill Details Excel- Exprience - 96 months PowerPoint- Exprience - 96 months Word- Exprience - ...","Lake Scottshire, Gibraltar",,0.0,Junior,2024-05-07T01:03:26,
kim.garrett@hotmail.com,Kim Garrett,s and university requirements involved many public speaking opportunities.,Education Details January 2009 P.G. Sports science Dr. BMN College of Home Science January 2008 BSc Food Science & Nutrition Dr. BMN College of Home Science January 2004 HSC Central Railway's Jr. college of Science and Commerce January 2002 SSC HISTORY IES's Modern English School MSc Nutrition College of Home Science nutritionist and health promoter 9yrs experience as a nutritionist and health coach Skill Details Company Details company - UGC NET description - CAREER OBJECTIVE- To use my qualifi...,"Tiffanyshire, Benin",,9.0,Senior,2025-05-30T16:00:32,
caleb.hill@hotmail.com,Caleb Hill,,"Education Details May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience Health and wellness coach Advance PG diploma in Clinical research, Clinical data management and SAS Skill Details Company Details company - GOQii Technologies Ltd description - â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance hea...","South Patricia, Lebanon",,0.0,Junior,2023-10-02T00:53:04,
johnny.ochoa@hotmail.com,Johnny Ochoa,which will commensurate with my qualification and experience in the field of health and fitness environment.,"Education Details January 1992 to January 2003 First year Science Mumbai, Maharashtra St micheal high Personal fitness trainer level3 personal trainer Skill Details Company Details company - Golds gym ,fitness solution,flora hotel description - Certification : american college of sports science golds gym heart saver reps level 3 Responsibilities To obtain a challenging position which will commensurate with my qualification and experience in the field of health and fitness environment. Accomplish...","South Lauren, Italy",,0.0,Junior,2025-04-08T15:37:53,
laura.reynolds@yahoo.com,Laura Reynolds,,"Education Details January 2018 M.S. Nutrition and Exercise Physiology New York, NY Teachers College, Columbia University January 2016 B.S. Nutrition and Dietetics Miami, FL Florida International University January 2011 B.Sc. General Microbiology Pune, Maharashtra Abasaheb Garware College Group Fitness Instructor, India Group Fitness Instructor, India - Columbia University Skill Details Company Details company - Columbia University description - Present Organized high energy weight training, card...","Shawnaton, Vietnam",,0.0,Junior,2024-09-30T20:28:18,
kristy.hunt@gmail.com,Kristy Hunt,,"Personal Skills: â¢ Good verbal and written communication skills â¢ Ability to deal with people diplomatically â¢ Willingness to learn Other Qualifications: â¢ Seema Institute Ansalon: Body massage and scalp, Swedish, Thai body, Foot Reflexology, Aromatherapy. Completed course of 2 months. â¢ Talwalkars: Fitness academy with gym and aerobics. Completed 3 months course in fitness training. â¢ Radio Bhavan, The Career Super Market: Hotel and Front Office Management. Completed course of 3 mon...","Matthewport, Vanuatu",,0.0,Junior,2025-07-29T14:18:53,
alicia.aguirre@hotmail.com,Alicia Aguirre,S:,"SKILLS: Computer: â¢ Can easily operate in Operating System like Windows 10. â¢ Can work in Ms-Office (Word, Excel, and PowerPoint). â¢ Can easily operate internet & Gym Management Software (website & mobile application).Education Details January 2010 Advance Diploma in Hotel Management J&W Institute of Hotel Management Gym management & Consultant Gym management & Consultant - Sculpt Fitness Centre Skill Details Excel- Exprience - 96 months PowerPoint- Exprience - 96 months Word- Exprience - ...","Barrberg, Armenia",,0.0,Junior,2024-07-01T20:20:53,
paige.morales@hotmail.com,Paige Morales,s and university requirements involved many public speaking opportunities.,Education Details January 2009 P.G. Sports science Dr. BMN College of Home Science January 2008 BSc Food Science & Nutrition Dr. BMN College of Home Science January 2004 HSC Central Railway's Jr. college of Science and Commerce January 2002 SSC HISTORY IES's Modern English School MSc Nutrition College of Home Science nutritionist and health promoter 9yrs experience as a nutritionist and health coach Skill Details Company Details company - UGC NET description - CAREER OBJECTIVE- To use my qualifi...,"East Bradleyville, Macao",,9.0,Senior,2025-01-06T08:55:33,
donald.rose@hotmail.com,Donald Rose,,"Education Details May 2014 Diploma Nutrition Education Bengaluru, Karnataka IGNOU University June 2004 Bachelor of Science Clinical Nutrition and Dietetics Bengaluru, Karnataka Smt. VHD Institute of HomeScience Health and wellness coach Advance PG diploma in Clinical research, Clinical data management and SAS Skill Details Company Details company - GOQii Technologies Ltd description - â¢ Motivate players (i.e. GOQii subscribers) to make a permanent shift to a healthier lifestyle and enhance hea...","Lopezport, Australia",,0.0,Junior,2024-05-20T09:08:12,
tracy.diaz@yahoo.com,Tracy Diaz,QA/QC Civil Engineer.,"Education Details B.E in Civil Engineering Civil Engineering Chennai, Tamil Nadu Anna University QA/QC Civil Engineer QA/QC Civil Engineer Skill Details Company Details company - Ray Engineering Limited description - Mumbai, India. Consultancy: Jacobs Engineering India Limits. (United States Company) Client: Glaxo Smith Kline (GSK), Nashik, India. Position: QA/QC Civil Engineer. Project Summary: Glaxo Smith Kline (GSK) is British multinational pharmaceutical Company in India. USD 150 million Bui...","North Ronaldbury, Jamaica",Contract,0.0,Junior,2024-04-21T07:56:12,
marvin.gray@hotmail.com,Marvin Gray,"B.E. Civil Engineering Pune, Maharashtra Singhad Institute Of Technology And Science","Education Details January 2005 S.S.C Baramati, Maharashtra M.E.S. Highschool B.E. Civil Engineering Pune, Maharashtra Singhad Institute Of Technology And Science civil site engineer Civil engineer Skill Details Site Engineer- Exprience - 60 monthsCompany Details company - Vasundhara nirmiti properties description - Civil engineer company - shri balaji housing company description - Execution of all civil work company - Ganesh construction description - Site engineer","Micheleberg, Vietnam",,0.0,Junior,2024-10-01T00:39:25,
marcus.johnson@yahoo.com,Marcus Johnson,Civil Engineer,"SKILLS â¢ 1.Autocad â¢ 2.Pro v â¢ 3.Catia â¢ 4.word, excel â¢ 5.Photoshop INDUSTRIAL EXPOSURE Industrial Visit at: â¢ Larsen & Tubro (L & T)-3 months industrial training Inplant Training at: â¢ Ashoka Buildcon-Training for infrastructure setup and maintenance.Education Details January 2017 Masters in structure Nashik, Maharashtra Universal University Nashik Civil Engineer Civil Engineer Skill Details Autocad- Exprience - 1 months Catia- Exprience - 6 months maintenance- Exprience - 48 mon...","Judyland, Montenegro",Contract,0.0,Junior,2024-03-23T02:36:29,
leah.brady@hotmail.com,Leah Brady,Civil Engineer,"Computer Skills â¢ Holder of valid KSA license â¢ Basic Computer â¢ MS Office â¢ Autocad 2006Education Details January 2005 Diploma Bengaluru, Karnataka Oxford polytechnic Banglore Civil Engineer Civil Engineer - Utility powertech Ltd Skill Details Company Details company - Utility powertech Ltd description - 1. Project Name Nabinagar thermal power Project Aurangabad Bihar Client NTPC/BRBCL Position Civil Engineer company - DAMMAM KSA description - October 2008 to June 2011 AL NAFJAN & AL AB...","Sherryfurt, Djibouti",Contract,0.0,Junior,2023-09-09T18:36:46,
dawn.thomas@yahoo.com,Dawn Thomas,YASHWANT ORICHIDS Position: Site Engineer Location: Nallasopara (W) Mumbai Maharashtra - 400097 IndiaEducation Details,COMPUTER KNOWLEDGE â¢ Drafting tools: AutoCAD. â¢ Packages: MS Office Applications â¢ Operating systems: Windows 9x/2000/XP/Vista. DETAILEXPERIENCES Experience in India: 1) Working Experience at ALIA CONSTRUCTION AT NALLASOPARA (WEST) Mumbai since JUNE 2014 to MAY 2015. As a Civil Engineer (1 years) Project handle: Project title: YASHWANT ORICHIDS Position: Site Engineer Location: Nallasopara (W) Mumbai Maharashtra - 400097 IndiaEducation Details S.S.C Rajasthan board excellence polytechnic c...,"South Joshua, Bangladesh",Contract,4.0,Mid-level,2025-04-21T16:51:30,
patrick.smith@yahoo.com,Patrick Smith,"January 2014 BE Civil Engineering Chandrapur, Maharashtra Nagpur University","PERSONAL SKILLS â¢ Passionate towards learning new skills. â¢ Hardworking, sense of responsibility. COMPUTER SKILL â¢ AUTOCAD 2D, 3D â¢ CIVIL 3DEducation Details January 2014 BE Civil Engineering Chandrapur, Maharashtra Nagpur University January 2010 Diploma Civil Engineering Mumbai, Maharashtra Bajaj Polytechnic January 2007 SSC Industrial Waste Water Nagpur, Maharashtra Hindi City High School University /Board Site Engineer (Civil) Skill Details AUTOCAD- Exprience - 6 monthsCompany Details...","Lake Bryanstad, Kazakhstan",,0.0,Junior,2024-06-15T06:40:12,
richard.moore@yahoo.com,Richard Moore,QA/QC Civil Engineer.,"Education Details B.E in Civil Engineering Civil Engineering Chennai, Tamil Nadu Anna University QA/QC Civil Engineer QA/QC Civil Engineer Skill Details Company Details company - Ray Engineering Limited description - Mumbai, India. Consultancy: Jacobs Engineering India Limits. (United States Company) Client: Glaxo Smith Kline (GSK), Nashik, India. Position: QA/QC Civil Engineer. Project Summary: Glaxo Smith Kline (GSK) is British multinational pharmaceutical Company in India. USD 150 million Bui...","Laurenville, Lithuania",Contract,0.0,Junior,2025-06-09T17:55:00,
joseph.fernandez@gmail.com,Joseph Fernandez,"B.E. Civil Engineering Pune, Maharashtra Singhad Institute Of Technology And Science","Education Details January 2005 S.S.C Baramati, Maharashtra M.E.S. Highschool B.E. Civil Engineering Pune, Maharashtra Singhad Institute Of Technology And Science civil site engineer Civil engineer Skill Details Site Engineer- Exprience - 60 monthsCompany Details company - Vasundhara nirmiti properties description - Civil engineer company - shri balaji housing company description - Execution of all civil work company - Ganesh construction description - Site engineer","North Rebeccabury, Ireland",,0.0,Junior,2024-06-10T00:02:12,
